id;name;description;no_of_executors;label;workspace;dns_name;agent_state;bootstrap_metod;os;ssh_port;jvm_options
1;Customizable Intelligent Soft Tuna;web-readiness Planner grey;69944;Steel interactive;Orchestrator Baby;open-source executive Vista;ONLINE;JNLP;LINUX;62621;Enterprise-wide Bedfordshire
2;value-added;fuchsia bandwidth;82461;capacity Savings Account;Regional index;payment;OFFLINE;SSH;WINDOWS;77041;Advanced West Virginia Brand
3;Borders Internal Direct;optical;43583;Buckinghamshire Plastic transmitting;generating Arkansas;Product;OFFLINE;JNLP;WINDOWS;80750;United Arab Emirates Reverse-engineered Automotive
4;RAM deposit Investment Account;Bouvet Island (Bouvetoya);58114;Officer Refined Cotton Bacon Unbranded Rubber Chair;Refined;Computers;ONLINE;JNLP;MAC;15699;Beauty
5;bandwidth COM Refined;Spring Branding;30306;Multi-lateral Streamlined Liberian Dollar;e-commerce reboot engineer;port mobile value-added;LEASED;SSH;LINUX;29072;violet open-source matrix
6;Sports;clicks-and-mortar;66566;Phased Electronics;Agent;withdrawal Pizza plum;ONLINE;JNLP;LINUX;60744;Intelligent sexy Bacon
7;Unbranded Radial Planner;Gold Incredible Plastic Bike Concrete;93382;Ohio;Skyway Rustic Plastic Towels;Auto Loan Account New York payment;OFFLINE;JNLP;MAC;92944;Facilitator Car Borders
8;override Personal Loan Account;Industrial connect;98156;back-end scale Danish Krone;bandwidth Motorway infrastructures;plum;ONLINE;SSH;MAC;36631;Land
9;card Cambridgeshire Fantastic Concrete Salad;THX cross-platform;52881;Oklahoma port;Uganda Shilling;reboot 1080p;OFFLINE;SSH;MAC;21392;Canyon
10;Factors Tasty Plastic Sausages;navigating;74826;collaborative;frictionless Extension;Metal;LEASED;JNLP;MAC;35593;Tools
